Date,Ticker,Open,High,Low,Close,Adj Close,Volume
1999-03-31,BKNG,451.5,517.5,438.0,497.25,490.18072509765625,1322933
1999-03-31,BKNG,451.5,517.5,438.0,497.25,490.18072509765625,1322933
1999-04-01,BKNG,550.5,552.0,475.5,483.0,476.1333312988281,483233
1999-04-01,BKNG,550.5,552.0,475.5,483.0,476.1333312988281,483233
1999-04-05,BKNG,501.0,504.0,435.0,450.75,444.3418273925781,324917
1999-04-05,BKNG,501.0,504.0,435.0,450.75,444.3418273925781,324917
1999-04-06,BKNG,452.25,484.125,420.0,474.0,467.2612915039063,353900
1999-04-06,BKNG,452.25,484.125,420.0,474.0,467.2612915039063,353900
1999-04-07,BKNG,480.75,487.5,442.5,447.0,440.6450805664063,156617
1999-04-07,BKNG,480.75,487.5,442.5,447.0,440.6450805664063,156617
1999-04-08,BKNG,447.0,450.75,423.75,435.0,428.8157348632813,147767
1999-04-08,BKNG,447.0,450.75,423.75,435.0,428.8157348632813,147767
1999-04-09,BKNG,432.0,456.0,406.5,444.0,437.687744140625,141933
1999-04-09,BKNG,432.0,456.0,406.5,444.0,437.687744140625,141933
1999-04-12,BKNG,420.75,475.5,414.0,459.375,452.84423828125,182833
1999-04-12,BKNG,420.75,475.5,414.0,459.375,452.84423828125,182833
1999-04-13,BKNG,472.5,515.25,463.5,489.0,482.0480651855469,240033
1999-04-13,BKNG,472.5,515.25,463.5,489.0,482.0480651855469,240033
1999-04-14,BKNG,554.25,595.5,510.0,558.75,550.806396484375,627933
1999-04-14,BKNG,554.25,595.5,510.0,558.75,550.806396484375,627933
1999-04-15,BKNG,564.0,564.0,459.0,479.25,472.4366455078125,339117
1999-04-15,BKNG,564.0,564.0,459.0,479.25,472.4366455078125,339117
1999-04-16,BKNG,486.0,510.0,438.0,488.25,481.3086853027344,176683
1999-04-16,BKNG,486.0,510.0,438.0,488.25,481.3086853027344,176683
1999-04-19,BKNG,490.5,492.0,348.0,359.25,354.14263916015625,229150
1999-04-19,BKNG,490.5,492.0,348.0,359.25,354.14263916015625,229150
1999-04-20,BKNG,359.25,414.0,348.0,405.75,399.9815979003906,264100
1999-04-20,BKNG,359.25,414.0,348.0,405.75,399.9815979003906,264100
1999-04-21,BKNG,429.0,456.0,405.75,447.0,440.6450805664063,150483
1999-04-21,BKNG,429.0,456.0,405.75,447.0,440.6450805664063,150483
1999-04-22,BKNG,486.375,490.5,441.0,458.25,451.7351989746094,145683
1999-04-22,BKNG,486.375,490.5,441.0,458.25,451.7351989746094,145683
1999-04-23,BKNG,516.375,574.5,492.0,528.0,520.4935913085938,741767
1999-04-23,BKNG,516.375,574.5,492.0,528.0,520.4935913085938,741767
1999-04-26,BKNG,626.625,728.625,604.5,724.5,714.2000122070312,1352367
1999-04-26,BKNG,626.625,728.625,604.5,724.5,714.2000122070312,1352367
1999-04-27,BKNG,738.75,840.0,720.75,778.125,767.0625610351562,1196750
1999-04-27,BKNG,738.75,840.0,720.75,778.125,767.0625610351562,1196750
1999-04-28,BKNG,749.625,806.625,696.0,726.0,715.6787109375,448867
1999-04-28,BKNG,749.625,806.625,696.0,726.0,715.6787109375,448867
1999-04-29,BKNG,690.375,833.25,690.0,826.875,815.1195068359375,721900
1999-04-29,BKNG,690.375,833.25,690.0,826.875,815.1195068359375,721900
1999-04-30,BKNG,909.0,990.0,810.0,974.25,960.3993530273438,845467
1999-04-30,BKNG,909.0,990.0,810.0,974.25,960.3993530273438,845467
1999-05-03,BKNG,914.625,953.25,833.25,835.5,823.6219482421875,873317
1999-05-03,BKNG,914.625,953.25,833.25,835.5,823.6219482421875,873317
1999-05-04,BKNG,855.75,900.0,783.75,804.0,792.5697631835938,692750
1999-05-04,BKNG,855.75,900.0,783.75,804.0,792.5697631835938,692750
1999-05-05,BKNG,847.125,912.0,720.75,907.125,894.2285766601562,1264033
1999-05-05,BKNG,847.125,912.0,720.75,907.125,894.2285766601562,1264033
1999-05-06,BKNG,888.0,912.0,827.25,836.625,824.7308959960938,632083
1999-05-06,BKNG,888.0,912.0,827.25,836.625,824.7308959960938,632083
1999-05-07,BKNG,865.5,865.875,777.75,783.9375,772.79248046875,569683
1999-05-07,BKNG,865.5,865.875,777.75,783.9375,772.79248046875,569683
1999-05-10,BKNG,768.0,791.25,726.0,768.0,757.08154296875,449167
1999-05-10,BKNG,768.0,791.25,726.0,768.0,757.08154296875,449167
1999-05-11,BKNG,807.0,808.5,738.0,738.0,727.5079956054688,286467
1999-05-11,BKNG,807.0,808.5,738.0,738.0,727.5079956054688,286467
1999-05-12,BKNG,736.5,774.0,732.0,756.0,745.2520751953125,240517
1999-05-12,BKNG,736.5,774.0,732.0,756.0,745.2520751953125,240517
1999-05-13,BKNG,779.25,792.0,726.0,729.0,718.6360473632812,187167
1999-05-13,BKNG,779.25,792.0,726.0,729.0,718.6360473632812,187167
1999-05-14,BKNG,720.0,807.0,714.0,796.875,785.5460205078125,792600
1999-05-14,BKNG,720.0,807.0,714.0,796.875,785.5460205078125,792600
1999-05-17,BKNG,789.0,793.875,744.0,790.5,779.2615966796875,341400
1999-05-17,BKNG,789.0,793.875,744.0,790.5,779.2615966796875,341400
1999-05-18,BKNG,787.5,838.5,766.125,816.75,805.1384887695312,418517
1999-05-18,BKNG,787.5,838.5,766.125,816.75,805.1384887695312,418517
1999-05-19,BKNG,820.5,865.5,808.5,855.0,842.8446655273438,226583
1999-05-19,BKNG,820.5,865.5,808.5,855.0,842.8446655273438,226583
1999-05-20,BKNG,869.625,870.0,786.75,806.25,794.7877807617188,174400
1999-05-20,BKNG,869.625,870.0,786.75,806.25,794.7877807617188,174400
1999-05-21,BKNG,871.875,874.5,822.0,833.625,821.7736206054688,553733
1999-05-21,BKNG,871.875,874.5,822.0,833.625,821.7736206054688,553733
1999-05-24,BKNG,829.5,833.25,726.75,752.0625,741.37060546875,314600
1999-05-24,BKNG,829.5,833.25,726.75,752.0625,741.37060546875,314600
1999-05-25,BKNG,726.0,776.25,618.0,624.0,615.1287231445312,540600
1999-05-25,BKNG,726.0,776.25,618.0,624.0,615.1287231445312,540600
1999-05-26,BKNG,651.0,690.0,582.0,682.6875,672.9818725585938,691100
1999-05-26,BKNG,651.0,690.0,582.0,682.6875,672.9818725585938,691100
1999-05-27,BKNG,676.5,702.0,654.375,664.875,655.422607421875,273617
1999-05-27,BKNG,676.5,702.0,654.375,664.875,655.422607421875,273617
1999-05-28,BKNG,642.0,673.5,636.0,672.1875,662.631103515625,194833
1999-05-28,BKNG,642.0,673.5,636.0,672.1875,662.631103515625,194833
1999-06-01,BKNG,657.75,663.0,585.0,596.625,588.14306640625,353983
1999-06-01,BKNG,657.75,663.0,585.0,596.625,588.14306640625,353983
1999-06-02,BKNG,577.5,634.125,534.75,557.4375,549.5125732421875,748050
1999-06-02,BKNG,577.5,634.125,534.75,557.4375,549.5125732421875,748050
1999-06-03,BKNG,560.25,575.25,504.0,504.75,497.5740966796875,448450
1999-06-03,BKNG,560.25,575.25,504.0,504.75,497.5740966796875,448450
1999-06-04,BKNG,507.0,553.5,500.25,541.875,534.1712646484375,431817
1999-06-04,BKNG,507.0,553.5,500.25,541.875,534.1712646484375,431817
1999-06-07,BKNG,555.0,657.0,549.75,609.0,600.3419189453125,738183
1999-06-07,BKNG,555.0,657.0,549.75,609.0,600.3419189453125,738183
1999-06-08,BKNG,629.25,666.0,609.75,625.5,616.6074829101562,560267
1999-06-08,BKNG,629.25,666.0,609.75,625.5,616.6074829101562,560267
1999-06-09,BKNG,639.75,653.25,617.25,630.0,621.0433959960938,224783
1999-06-09,BKNG,639.75,653.25,617.25,630.0,621.0433959960938,224783
1999-06-10,BKNG,604.125,624.75,600.0,613.5,604.778076171875,290533
1999-06-10,BKNG,604.125,624.75,600.0,613.5,604.778076171875,290533
1999-06-11,BKNG,624.0,637.5,570.0,574.125,565.9628295898438,268367
1999-06-11,BKNG,624.0,637.5,570.0,574.125,565.9628295898438,268367
1999-06-14,BKNG,564.0,564.0,459.0,461.25,454.6925354003906,534317
1999-06-14,BKNG,564.0,564.0,459.0,461.25,454.6925354003906,534317
1999-06-15,BKNG,456.75,505.875,448.5,470.625,463.9342346191406,544217
1999-06-15,BKNG,456.75,505.875,448.5,470.625,463.9342346191406,544217
1999-06-16,BKNG,510.0,540.0,502.5,531.0,523.450927734375,522133
1999-06-16,BKNG,510.0,540.0,502.5,531.0,523.450927734375,522133
1999-06-17,BKNG,525.0,570.0,502.125,533.625,526.0386352539062,439050
1999-06-17,BKNG,525.0,570.0,502.125,533.625,526.0386352539062,439050
1999-06-18,BKNG,548.25,571.125,546.0,564.0,555.981689453125,257800
1999-06-18,BKNG,548.25,571.125,546.0,564.0,555.981689453125,257800
1999-06-21,BKNG,574.5,655.5,571.5,637.875,628.8065795898438,484800
1999-06-21,BKNG,574.5,655.5,571.5,637.875,628.8065795898438,484800
1999-06-22,BKNG,654.375,716.625,634.5,652.5,643.2236328125,766100
1999-06-22,BKNG,654.375,716.625,634.5,652.5,643.2236328125,766100
1999-06-23,BKNG,624.0,683.625,624.0,665.25,655.7922973632812,435500
1999-06-23,BKNG,624.0,683.625,624.0,665.25,655.7922973632812,435500
1999-06-24,BKNG,649.5,657.0,612.0,612.0,603.29931640625,314117
1999-06-24,BKNG,649.5,657.0,612.0,612.0,603.29931640625,314117
1999-06-25,BKNG,632.625,644.25,573.0,574.5,566.3323974609375,380433
1999-06-25,BKNG,632.625,644.25,573.0,574.5,566.3323974609375,380433
1999-06-28,BKNG,594.0,633.75,552.0,633.0,624.0007934570312,444450
1999-06-28,BKNG,594.0,633.75,552.0,633.0,624.0007934570312,444450
1999-06-29,BKNG,618.75,666.0,614.625,645.0,635.8302001953125,384483
1999-06-29,BKNG,618.75,666.0,614.625,645.0,635.8302001953125,384483
1999-06-30,BKNG,637.5,714.0,625.5,693.375,683.5174560546875,437417
1999-06-30,BKNG,637.5,714.0,625.5,693.375,683.5174560546875,437417
1999-07-01,BKNG,701.25,710.25,643.5,645.0,635.8302001953125,329517
1999-07-01,BKNG,701.25,710.25,643.5,645.0,635.8302001953125,329517
1999-07-02,BKNG,654.0,681.0,654.0,669.0,659.4889526367188,183617
1999-07-02,BKNG,654.0,681.0,654.0,669.0,659.4889526367188,183617
1999-07-06,BKNG,681.375,703.125,672.0,672.0,662.4463500976562,314250
1999-07-06,BKNG,681.375,703.125,672.0,672.0,662.4463500976562,314250
1999-07-07,BKNG,678.0,678.0,639.0,666.0,656.5316772460938,274083
1999-07-07,BKNG,678.0,678.0,639.0,666.0,656.5316772460938,274083
1999-07-08,BKNG,677.25,697.5,657.0,664.125,654.683349609375,294800
1999-07-08,BKNG,677.25,697.5,657.0,664.125,654.683349609375,294800
1999-07-09,BKNG,672.375,678.0,650.25,654.0,644.7023315429688,116600
1999-07-09,BKNG,672.375,678.0,650.25,654.0,644.7023315429688,116600
1999-07-12,BKNG,655.875,660.0,624.0,629.0625,620.1192626953125,143467
1999-07-12,BKNG,655.875,660.0,624.0,629.0625,620.1192626953125,143467
1999-07-13,BKNG,604.875,626.25,600.0,618.75,609.9534301757812,145050
1999-07-13,BKNG,604.875,626.25,600.0,618.75,609.9534301757812,145050
1999-07-14,BKNG,621.75,636.0,619.5,625.5,616.6074829101562,103967
1999-07-14,BKNG,621.75,636.0,619.5,625.5,616.6074829101562,103967
1999-07-15,BKNG,626.25,633.0,600.0,606.75,598.1240234375,107133
1999-07-15,BKNG,626.25,633.0,600.0,606.75,598.1240234375,107133
1999-07-16,BKNG,601.5,609.0,582.0,584.4375,576.128662109375,160617
1999-07-16,BKNG,601.5,609.0,582.0,584.4375,576.128662109375,160617
1999-07-19,BKNG,633.0,648.0,585.0,585.9375,577.6074829101562,464333
1999-07-19,BKNG,633.0,648.0,585.0,585.9375,577.6074829101562,464333
1999-07-20,BKNG,572.25,576.0,546.0,549.375,541.564697265625,278400
1999-07-20,BKNG,572.25,576.0,546.0,549.375,541.564697265625,278400
1999-07-21,BKNG,550.875,551.25,519.0,529.3125,521.7874145507812,303617
1999-07-21,BKNG,550.875,551.25,519.0,529.3125,521.7874145507812,303617
1999-07-22,BKNG,522.375,528.0,498.0,501.375,494.2471008300781,228600
1999-07-22,BKNG,522.375,528.0,498.0,501.375,494.2471008300781,228600
1999-07-23,BKNG,501.75,514.5,480.375,487.125,480.1996765136719,281617
1999-07-23,BKNG,501.75,514.5,480.375,487.125,480.1996765136719,281617
