Date,Ticker,Open,High,Low,Close,Adj Close,Volume
1986-07-09,COST,10.6875,11.0625,10.5625,11.0,7.359262466430664,1116800
1986-07-09,COST,10.6875,11.0625,10.5625,11.0,7.359262466430664,1116800
1986-07-10,COST,11.0625,11.125,10.6875,10.9375,7.317446708679199,595600
1986-07-10,COST,11.0625,11.125,10.6875,10.9375,7.317446708679199,595600
1986-07-11,COST,10.875,10.9375,10.5625,10.5625,7.066565036773682,800400
1986-07-11,COST,10.875,10.9375,10.5625,10.5625,7.066565036773682,800400
1986-07-14,COST,10.625,10.625,10.125,10.25,6.8574957847595215,738000
1986-07-14,COST,10.625,10.625,10.125,10.25,6.8574957847595215,738000
1986-07-15,COST,10.1875,10.1875,9.3125,9.9375,6.648421287536621,2059200
1986-07-15,COST,10.1875,10.1875,9.3125,9.9375,6.648421287536621,2059200
1986-07-16,COST,9.9375,10.5,9.9375,10.125,6.773866653442383,1160400
1986-07-16,COST,9.9375,10.5,9.9375,10.125,6.773866653442383,1160400
1986-07-17,COST,10.125,10.25,10.0,10.1875,6.81567907333374,1046000
1986-07-17,COST,10.125,10.25,10.0,10.1875,6.81567907333374,1046000
1986-07-18,COST,10.1875,10.34375,10.0,10.25,6.8574957847595215,1420000
1986-07-18,COST,10.1875,10.34375,10.0,10.25,6.8574957847595215,1420000
1986-07-21,COST,10.25,10.3125,10.1875,10.25,6.8574957847595215,322800
1986-07-21,COST,10.25,10.3125,10.1875,10.25,6.8574957847595215,322800
1986-07-22,COST,10.25,10.28125,10.1875,10.1875,6.81567907333374,390800
1986-07-22,COST,10.25,10.28125,10.1875,10.1875,6.81567907333374,390800
1986-07-23,COST,10.25,10.25,10.0,10.0625,6.7320556640625,1004000
1986-07-23,COST,10.25,10.25,10.0,10.0625,6.7320556640625,1004000
1986-07-24,COST,10.0625,10.125,9.8125,9.9375,6.648421287536621,1071600
1986-07-24,COST,10.0625,10.125,9.8125,9.9375,6.648421287536621,1071600
1986-07-25,COST,9.9375,10.125,9.875,10.0625,6.7320556640625,688400
1986-07-25,COST,9.9375,10.125,9.875,10.0625,6.7320556640625,688400
1986-07-28,COST,10.0625,10.25,9.96875,10.125,6.773866653442383,414800
1986-07-28,COST,10.0625,10.25,9.96875,10.125,6.773866653442383,414800
1986-07-29,COST,10.0,10.1875,10.0,10.1875,6.81567907333374,278400
1986-07-29,COST,10.0,10.1875,10.0,10.1875,6.81567907333374,278400
1986-07-30,COST,10.0625,10.125,9.875,10.125,6.773866653442383,459200
1986-07-30,COST,10.0625,10.125,9.875,10.125,6.773866653442383,459200
1986-07-31,COST,10.125,10.25,10.0,10.0625,6.7320556640625,1213600
1986-07-31,COST,10.125,10.25,10.0,10.0625,6.7320556640625,1213600
1986-08-01,COST,10.0,10.125,9.75,9.75,6.522983074188232,1118000
1986-08-01,COST,10.0,10.125,9.75,9.75,6.522983074188232,1118000
1986-08-04,COST,9.8125,9.8125,9.53125,9.75,6.522983074188232,892400
1986-08-04,COST,9.8125,9.8125,9.53125,9.75,6.522983074188232,892400
1986-08-05,COST,9.75,9.75,9.5,9.5625,6.397538661956787,868800
1986-08-05,COST,9.75,9.75,9.5,9.5625,6.397538661956787,868800
1986-08-06,COST,9.5625,9.625,9.125,9.125,6.1048455238342285,550400
1986-08-06,COST,9.5625,9.625,9.125,9.125,6.1048455238342285,550400
1986-08-07,COST,9.0,9.0625,8.125,8.375,5.603073120117188,7560000
1986-08-07,COST,9.0,9.0625,8.125,8.375,5.603073120117188,7560000
1986-08-08,COST,8.4375,8.9375,8.375,8.875,5.937588214874268,2802000
1986-08-08,COST,8.4375,8.9375,8.375,8.875,5.937588214874268,2802000
1986-08-11,COST,9.0,9.125,8.875,9.125,6.1048455238342285,1428000
1986-08-11,COST,9.0,9.125,8.875,9.125,6.1048455238342285,1428000
1986-08-12,COST,9.125,9.4375,9.125,9.375,6.272095680236816,1155200
1986-08-12,COST,9.125,9.4375,9.125,9.375,6.272095680236816,1155200
1986-08-13,COST,9.4375,10.09375,9.375,9.6875,6.481167316436768,865600
1986-08-13,COST,9.4375,10.09375,9.375,9.6875,6.481167316436768,865600
1986-08-14,COST,9.75,9.8125,9.375,9.5,6.355727195739746,762000
1986-08-14,COST,9.75,9.8125,9.375,9.5,6.355727195739746,762000
1986-08-15,COST,9.5,9.5,9.1875,9.375,6.272095680236816,654400
1986-08-15,COST,9.5,9.5,9.1875,9.375,6.272095680236816,654400
1986-08-18,COST,9.4375,9.875,9.25,9.6875,6.481167316436768,606800
1986-08-18,COST,9.4375,9.875,9.25,9.6875,6.481167316436768,606800
1986-08-19,COST,9.75,9.75,9.5,9.5625,6.397538661956787,2744000
1986-08-19,COST,9.75,9.75,9.5,9.5625,6.397538661956787,2744000
1986-08-20,COST,9.5625,9.5625,9.375,9.5,6.355727195739746,500000
1986-08-20,COST,9.5625,9.5625,9.375,9.5,6.355727195739746,500000
1986-08-21,COST,9.5,9.5625,9.4375,9.4375,6.31391191482544,353200
1986-08-21,COST,9.5,9.5625,9.4375,9.4375,6.31391191482544,353200
1986-08-22,COST,9.5,9.5625,9.375,9.375,6.272095680236816,286000
1986-08-22,COST,9.5,9.5625,9.375,9.375,6.272095680236816,286000
1986-08-25,COST,9.5,9.5,9.125,9.25,6.188468933105469,766400
1986-08-25,COST,9.5,9.5,9.125,9.25,6.188468933105469,766400
1986-08-26,COST,9.1875,9.375,9.1875,9.375,6.272095680236816,408800
1986-08-26,COST,9.1875,9.375,9.1875,9.375,6.272095680236816,408800
1986-08-27,COST,9.375,9.375,9.1875,9.3125,6.230282306671143,686400
1986-08-27,COST,9.375,9.375,9.1875,9.3125,6.230282306671143,686400
1986-08-28,COST,9.3125,9.3125,9.125,9.1875,6.146656036376953,286000
1986-08-28,COST,9.3125,9.3125,9.125,9.1875,6.146656036376953,286000
1986-08-29,COST,9.125,9.25,9.0625,9.125,6.1048455238342285,1128800
1986-08-29,COST,9.125,9.25,9.0625,9.125,6.1048455238342285,1128800
1986-09-02,COST,9.1875,9.1875,8.6875,8.75,5.853957653045654,916800
1986-09-02,COST,9.1875,9.1875,8.6875,8.75,5.853957653045654,916800
1986-09-03,COST,8.75,8.9375,8.6875,8.9375,5.979400157928467,684400
1986-09-03,COST,8.75,8.9375,8.6875,8.9375,5.979400157928467,684400
1986-09-04,COST,9.0,9.3125,8.875,9.3125,6.230282306671143,576800
1986-09-04,COST,9.0,9.3125,8.875,9.3125,6.230282306671143,576800
1986-09-05,COST,9.3125,9.4375,9.0,9.0,6.021212577819824,961600
1986-09-05,COST,9.3125,9.4375,9.0,9.0,6.021212577819824,961600
1986-09-08,COST,9.125,9.125,8.625,8.75,5.853957653045654,1793200
1986-09-08,COST,9.125,9.125,8.625,8.75,5.853957653045654,1793200
1986-09-09,COST,8.6875,8.75,8.5,8.625,5.770328998565674,388000
1986-09-09,COST,8.6875,8.75,8.5,8.625,5.770328998565674,388000
1986-09-10,COST,8.625,8.625,8.5,8.5,5.686702251434326,802400
1986-09-10,COST,8.625,8.625,8.5,8.5,5.686702251434326,802400
1986-09-11,COST,8.5625,8.5625,7.75,7.9375,5.310374736785889,6240000
1986-09-11,COST,8.5625,8.5625,7.75,7.9375,5.310374736785889,6240000
1986-09-12,COST,7.875,7.9375,7.5625,7.625,5.101305961608887,2066800
1986-09-12,COST,7.875,7.9375,7.5625,7.625,5.101305961608887,2066800
1986-09-15,COST,7.625,7.75,7.4375,7.625,5.101305961608887,1746800
1986-09-15,COST,7.625,7.75,7.4375,7.625,5.101305961608887,1746800
1986-09-16,COST,7.5625,7.625,7.3125,7.4375,4.975863933563232,1547200
1986-09-16,COST,7.5625,7.625,7.3125,7.4375,4.975863933563232,1547200
1986-09-17,COST,7.5,7.5,7.0625,7.375,4.934048652648926,997600
1986-09-17,COST,7.5,7.5,7.0625,7.375,4.934048652648926,997600
1986-09-18,COST,7.375,8.75,7.375,8.75,5.853957653045654,833200
1986-09-18,COST,7.375,8.75,7.375,8.75,5.853957653045654,833200
1986-09-19,COST,8.75,8.75,8.1875,8.5625,5.728514671325684,928000
1986-09-19,COST,8.75,8.75,8.1875,8.5625,5.728514671325684,928000
1986-09-22,COST,8.5625,8.6875,8.375,8.5,5.686702251434326,464000
1986-09-22,COST,8.5625,8.6875,8.375,8.5,5.686702251434326,464000
1986-09-23,COST,8.5625,8.5625,8.0625,8.25,5.519445419311523,436400
1986-09-23,COST,8.5625,8.5625,8.0625,8.25,5.519445419311523,436400
1986-09-24,COST,8.25,8.5625,8.125,8.5,5.686702251434326,649600
1986-09-24,COST,8.25,8.5625,8.125,8.5,5.686702251434326,649600
1986-09-25,COST,8.5,8.5,8.3125,8.3125,5.561259269714356,305600
1986-09-25,COST,8.5,8.5,8.3125,8.3125,5.561259269714356,305600
1986-09-26,COST,8.3125,8.4375,8.25,8.3125,5.561259269714356,278400
1986-09-26,COST,8.3125,8.4375,8.25,8.3125,5.561259269714356,278400
1986-09-29,COST,8.375,8.375,8.0625,8.25,5.519445419311523,724800
1986-09-29,COST,8.375,8.375,8.0625,8.25,5.519445419311523,724800
1986-09-30,COST,8.1875,8.75,8.1875,8.5625,5.728514671325684,773200
1986-09-30,COST,8.1875,8.75,8.1875,8.5625,5.728514671325684,773200
1986-10-01,COST,8.6875,8.75,8.5625,8.5625,5.728514671325684,668400
1986-10-01,COST,8.6875,8.75,8.5625,8.5625,5.728514671325684,668400
1986-10-02,COST,8.5625,8.625,8.5625,8.5625,5.728514671325684,592000
1986-10-02,COST,8.5625,8.625,8.5625,8.5625,5.728514671325684,592000
1986-10-03,COST,8.625,8.625,8.25,8.375,5.603073120117188,228000
1986-10-03,COST,8.625,8.625,8.25,8.375,5.603073120117188,228000
1986-10-06,COST,8.5,8.5,8.3125,8.4375,5.644888877868652,467600
1986-10-06,COST,8.5,8.5,8.3125,8.4375,5.644888877868652,467600
1986-10-07,COST,8.375,8.5,8.375,8.4375,5.644888877868652,176000
1986-10-07,COST,8.375,8.5,8.375,8.4375,5.644888877868652,176000
1986-10-08,COST,8.5,8.625,8.4375,8.625,5.770328998565674,558800
1986-10-08,COST,8.5,8.625,8.4375,8.625,5.770328998565674,558800
1986-10-09,COST,8.625,8.625,8.375,8.4375,5.644888877868652,243200
1986-10-09,COST,8.625,8.625,8.375,8.4375,5.644888877868652,243200
1986-10-10,COST,8.4375,8.4375,8.25,8.3125,5.561259269714356,238400
1986-10-10,COST,8.4375,8.4375,8.25,8.3125,5.561259269714356,238400
1986-10-13,COST,8.375,8.375,8.0625,8.0625,5.3940043449401855,362800
1986-10-13,COST,8.375,8.375,8.0625,8.0625,5.3940043449401855,362800
1986-10-14,COST,8.0625,8.625,8.0625,8.5,5.686702251434326,612000
1986-10-14,COST,8.0625,8.625,8.0625,8.5,5.686702251434326,612000
1986-10-15,COST,8.5625,8.8125,8.5,8.75,5.853957653045654,606800
1986-10-15,COST,8.5625,8.8125,8.5,8.75,5.853957653045654,606800
1986-10-16,COST,8.75,8.8125,8.6875,8.6875,5.812139987945557,269200
1986-10-16,COST,8.75,8.8125,8.6875,8.6875,5.812139987945557,269200
1986-10-17,COST,8.75,8.75,8.4375,8.5,5.686702251434326,216000
1986-10-17,COST,8.75,8.75,8.4375,8.5,5.686702251434326,216000
1986-10-20,COST,8.4375,8.5,8.0625,8.3125,5.561259269714356,595200
