Date,Ticker,Open,High,Low,Close,Adj Close,Volume
1993-04-28,RCL,9.125,9.375,9.0,9.125,5.783563137054443,7821000
1993-04-28,RCL,9.125,9.375,9.0,9.125,5.783563137054443,7821000
1993-04-29,RCL,9.125,9.3125,9.125,9.3125,5.902400493621826,2118800
1993-04-29,RCL,9.125,9.3125,9.125,9.3125,5.902400493621826,2118800
1993-04-30,RCL,9.375,9.375,9.125,9.1875,5.823177814483643,536800
1993-04-30,RCL,9.375,9.375,9.125,9.1875,5.823177814483643,536800
1993-05-03,RCL,9.125,9.1875,9.0625,9.1875,5.823177814483643,509600
1993-05-03,RCL,9.125,9.1875,9.0625,9.1875,5.823177814483643,509600
1993-05-04,RCL,9.1875,9.1875,8.9375,9.0625,5.743948936462402,787400
1993-05-04,RCL,9.1875,9.1875,8.9375,9.0625,5.743948936462402,787400
1993-05-05,RCL,9.0,9.0625,8.875,8.875,5.625106334686279,747200
1993-05-05,RCL,9.0,9.0625,8.875,8.875,5.625106334686279,747200
1993-05-06,RCL,8.9375,9.0,8.8125,8.8125,5.585496425628662,392800
1993-05-06,RCL,8.9375,9.0,8.8125,8.8125,5.585496425628662,392800
1993-05-07,RCL,8.875,8.9375,8.8125,8.875,5.625106334686279,180000
1993-05-07,RCL,8.875,8.9375,8.8125,8.875,5.625106334686279,180000
1993-05-10,RCL,8.9375,9.0625,8.875,8.875,5.625106334686279,269600
1993-05-10,RCL,8.9375,9.0625,8.875,8.875,5.625106334686279,269600
1993-05-11,RCL,8.9375,8.9375,8.875,8.9375,5.664722442626953,109400
1993-05-11,RCL,8.9375,8.9375,8.875,8.9375,5.664722442626953,109400
1993-05-12,RCL,8.875,8.875,8.6875,8.8125,5.585496425628662,110800
1993-05-12,RCL,8.875,8.875,8.6875,8.8125,5.585496425628662,110800
1993-05-13,RCL,8.8125,8.8125,8.75,8.75,5.545879364013672,171000
1993-05-13,RCL,8.8125,8.8125,8.75,8.75,5.545879364013672,171000
1993-05-14,RCL,8.75,8.875,8.75,8.75,5.545879364013672,166800
1993-05-14,RCL,8.75,8.875,8.75,8.75,5.545879364013672,166800
1993-05-17,RCL,8.75,8.75,8.5625,8.625,5.466655254364014,132000
1993-05-17,RCL,8.75,8.75,8.5625,8.625,5.466655254364014,132000
1993-05-18,RCL,8.625,8.625,8.0,8.25,5.228972434997559,534400
1993-05-18,RCL,8.625,8.625,8.0,8.25,5.228972434997559,534400
1993-05-19,RCL,8.375,8.5625,8.375,8.4375,5.347812175750732,203600
1993-05-19,RCL,8.375,8.5625,8.375,8.4375,5.347812175750732,203600
1993-05-20,RCL,8.3125,8.375,7.9375,8.125,5.149744510650635,1189000
1993-05-20,RCL,8.3125,8.375,7.9375,8.125,5.149744510650635,1189000
1993-05-21,RCL,8.1875,8.25,8.0,8.1875,5.18936014175415,475600
1993-05-21,RCL,8.1875,8.25,8.0,8.1875,5.18936014175415,475600
1993-05-24,RCL,8.25,8.25,8.0,8.125,5.149744510650635,719200
1993-05-24,RCL,8.25,8.25,8.0,8.125,5.149744510650635,719200
1993-05-25,RCL,8.0,8.0625,7.8125,7.9375,5.030906200408936,326600
1993-05-25,RCL,8.0,8.0625,7.8125,7.9375,5.030906200408936,326600
1993-05-26,RCL,8.0,8.3125,8.0,8.25,5.228972434997559,209200
1993-05-26,RCL,8.0,8.3125,8.0,8.25,5.228972434997559,209200
1993-05-27,RCL,8.375,8.5625,8.25,8.5,5.387428283691406,307800
1993-05-27,RCL,8.375,8.5625,8.25,8.5,5.387428283691406,307800
1993-05-28,RCL,8.625,8.8125,8.4375,8.6875,5.506267070770264,986400
1993-05-28,RCL,8.625,8.8125,8.4375,8.6875,5.506267070770264,986400
1993-06-01,RCL,8.75,8.75,8.4375,8.5,5.387428283691406,116800
1993-06-01,RCL,8.75,8.75,8.4375,8.5,5.387428283691406,116800
1993-06-02,RCL,8.5,8.6875,8.4375,8.6875,5.506267070770264,205200
1993-06-02,RCL,8.5,8.6875,8.4375,8.6875,5.506267070770264,205200
1993-06-03,RCL,8.6875,8.6875,8.5,8.5,5.387428283691406,92000
1993-06-03,RCL,8.6875,8.6875,8.5,8.5,5.387428283691406,92000
1993-06-04,RCL,8.5625,8.625,8.5,8.5625,5.427040100097656,118200
1993-06-04,RCL,8.5625,8.625,8.5,8.5625,5.427040100097656,118200
1993-06-07,RCL,8.5,8.6875,8.5,8.625,5.466655254364014,60000
1993-06-07,RCL,8.5,8.6875,8.5,8.625,5.466655254364014,60000
1993-06-08,RCL,8.625,8.625,8.5,8.5625,5.427040100097656,298200
1993-06-08,RCL,8.625,8.625,8.5,8.5625,5.427040100097656,298200
1993-06-09,RCL,8.5625,8.5625,8.4375,8.4375,5.347812175750732,27400
1993-06-09,RCL,8.5625,8.5625,8.4375,8.4375,5.347812175750732,27400
1993-06-10,RCL,8.4375,8.625,8.4375,8.5625,5.427040100097656,153600
1993-06-10,RCL,8.4375,8.625,8.4375,8.5625,5.427040100097656,153600
1993-06-11,RCL,8.6875,8.8125,8.5625,8.8125,5.585496425628662,84200
1993-06-11,RCL,8.6875,8.8125,8.5625,8.8125,5.585496425628662,84200
1993-06-14,RCL,8.9375,9.0,8.75,8.9375,5.664722442626953,434000
1993-06-14,RCL,8.9375,9.0,8.75,8.9375,5.664722442626953,434000
1993-06-15,RCL,8.875,9.125,8.8125,8.875,5.625106334686279,169600
1993-06-15,RCL,8.875,9.125,8.8125,8.875,5.625106334686279,169600
1993-06-16,RCL,8.875,9.0625,8.875,8.9375,5.664722442626953,288200
1993-06-16,RCL,8.875,9.0625,8.875,8.9375,5.664722442626953,288200
1993-06-17,RCL,9.0,9.0,8.8125,8.9375,5.664722442626953,165400
1993-06-17,RCL,9.0,9.0,8.8125,8.9375,5.664722442626953,165400
1993-06-18,RCL,8.9375,9.0,8.8125,8.875,5.625106334686279,89400
1993-06-18,RCL,8.9375,9.0,8.8125,8.875,5.625106334686279,89400
1993-06-21,RCL,8.8125,8.9375,8.8125,8.875,5.625106334686279,34200
1993-06-21,RCL,8.8125,8.9375,8.8125,8.875,5.625106334686279,34200
1993-06-22,RCL,8.9375,9.0625,8.8125,8.875,5.625106334686279,143000
1993-06-22,RCL,8.9375,9.0625,8.8125,8.875,5.625106334686279,143000
1993-06-23,RCL,8.875,9.0,8.75,8.75,5.545879364013672,23600
1993-06-23,RCL,8.875,9.0,8.75,8.75,5.545879364013672,23600
1993-06-24,RCL,8.75,9.0,8.75,8.8125,5.585496425628662,58200
1993-06-24,RCL,8.75,9.0,8.75,8.8125,5.585496425628662,58200
1993-06-25,RCL,8.8125,9.25,8.8125,9.1875,5.823177814483643,370000
1993-06-25,RCL,8.8125,9.25,8.8125,9.1875,5.823177814483643,370000
1993-06-28,RCL,9.1875,9.625,9.0625,9.5625,6.060856819152832,135200
1993-06-28,RCL,9.1875,9.625,9.0625,9.5625,6.060856819152832,135200
1993-06-29,RCL,9.75,9.75,9.4375,9.5,6.021243095397949,575600
1993-06-29,RCL,9.75,9.75,9.4375,9.5,6.021243095397949,575600
1993-06-30,RCL,9.5,9.5,9.375,9.5,6.021243095397949,132000
1993-06-30,RCL,9.5,9.5,9.375,9.5,6.021243095397949,132000
1993-07-01,RCL,9.5,9.625,9.4375,9.625,6.100470066070557,120800
1993-07-01,RCL,9.5,9.625,9.4375,9.625,6.100470066070557,120800
1993-07-02,RCL,9.625,9.75,9.5,9.5,6.021243095397949,239400
1993-07-02,RCL,9.625,9.75,9.5,9.5,6.021243095397949,239400
1993-07-06,RCL,9.5,9.625,9.3125,9.3125,5.902400493621826,87200
1993-07-06,RCL,9.5,9.625,9.3125,9.3125,5.902400493621826,87200
1993-07-07,RCL,9.375,9.375,9.1875,9.25,5.862789154052734,74400
1993-07-07,RCL,9.375,9.375,9.1875,9.25,5.862789154052734,74400
1993-07-08,RCL,9.3125,9.5625,9.25,9.5,6.021243095397949,104000
1993-07-08,RCL,9.3125,9.5625,9.25,9.5,6.021243095397949,104000
1993-07-09,RCL,9.5,9.5625,9.4375,9.5,6.021243095397949,302600
1993-07-09,RCL,9.5,9.5625,9.4375,9.5,6.021243095397949,302600
1993-07-12,RCL,9.5625,9.5625,9.4375,9.5,6.021243095397949,98200
1993-07-12,RCL,9.5625,9.5625,9.4375,9.5,6.021243095397949,98200
1993-07-13,RCL,9.5,9.5625,9.4375,9.5,6.021243095397949,212400
1993-07-13,RCL,9.5,9.5625,9.4375,9.5,6.021243095397949,212400
1993-07-14,RCL,9.5,9.75,9.5,9.75,6.1796956062316895,153200
1993-07-14,RCL,9.5,9.75,9.5,9.75,6.1796956062316895,153200
1993-07-15,RCL,9.75,9.75,9.6875,9.75,6.1796956062316895,133800
1993-07-15,RCL,9.75,9.75,9.6875,9.75,6.1796956062316895,133800
1993-07-16,RCL,9.75,9.75,9.625,9.75,6.1796956062316895,126000
1993-07-16,RCL,9.75,9.75,9.625,9.75,6.1796956062316895,126000
1993-07-19,RCL,9.6875,9.8125,9.6875,9.75,6.1796956062316895,244800
1993-07-19,RCL,9.6875,9.8125,9.6875,9.75,6.1796956062316895,244800
1993-07-20,RCL,9.75,9.75,9.6875,9.75,6.1796956062316895,111000
1993-07-20,RCL,9.75,9.75,9.6875,9.75,6.1796956062316895,111000
1993-07-21,RCL,9.8125,9.9375,9.75,9.9375,6.298532962799072,117400
1993-07-21,RCL,9.8125,9.9375,9.75,9.9375,6.298532962799072,117400
1993-07-22,RCL,9.9375,10.125,9.9375,10.0625,6.377764225006104,240600
1993-07-22,RCL,9.9375,10.125,9.9375,10.0625,6.377764225006104,240600
1993-07-23,RCL,10.0625,10.125,9.875,9.875,6.258921146392822,138200
1993-07-23,RCL,10.0625,10.125,9.875,9.875,6.258921146392822,138200
1993-07-26,RCL,9.875,10.0625,9.75,10.0625,6.377764225006104,236200
1993-07-26,RCL,9.875,10.0625,9.75,10.0625,6.377764225006104,236200
1993-07-27,RCL,10.125,10.3125,10.125,10.25,6.496604442596436,259200
1993-07-27,RCL,10.125,10.3125,10.125,10.25,6.496604442596436,259200
1993-07-28,RCL,10.75,11.1875,10.6875,11.0625,7.011576175689697,583200
1993-07-28,RCL,10.75,11.1875,10.6875,11.0625,7.011576175689697,583200
1993-07-29,RCL,11.1875,11.6875,11.125,11.4375,7.249259948730469,344800
1993-07-29,RCL,11.1875,11.6875,11.125,11.4375,7.249259948730469,344800
1993-07-30,RCL,11.5,11.6875,11.4375,11.6875,7.407711982727051,217800
1993-07-30,RCL,11.5,11.6875,11.4375,11.6875,7.407711982727051,217800
1993-08-02,RCL,11.6875,11.875,11.625,11.625,7.368099689483643,511400
1993-08-02,RCL,11.6875,11.875,11.625,11.625,7.368099689483643,511400
